Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
|  108|            5.3030691964e+00|            1.6741450004e-08|
|  109|            5.3457053572e+00|           -2.7292892169e-08|
|  110|            5.3883013393e+00|           -6.7422678329e-08|
|  111|            5.4308571429e+00|           -7.1381929034e-08|
|  112|            5.4733727679e+00|            7.0593827006e-08|
|  113|            5.5158482143e+00|            1.5839201062e-08|
|  114|            5.5582834822e+00|            7.7166677936e-08|
|  115|            5.6006785714e+00|            5.2840295917e-08|
|  116|            5.6430334822e+00|            1.3726108028e-08|
|  117|            5.6853482143e+00|            6.5711877939e-08|
|  118|            5.7276227679e+00|            4.0844040594e-08|
|  119|            5.7698571429e+00|           -6.9926227031e-08|
|  120|            5.8120513393e+00|           -5.2618009949e-08|
|  121|            5.8542053572e+00|           -1.7469987679e-09|
|  122|            5.8963191964e+00|           -1.0265624617e-07|
|  123|            5.9383928572e+00|            1.2191043708e-07|
|  124|            5.9804263393e+00|           -3.8642682831e-08|
|  125|            6.0224196429e+00|            4.3288223450e-08|
|  126|            6.0643727679e+00|           -4.2318572202e-08|
|  127|            6.1062857143e+00|            1.3230383544e-07|
|  128|            6.1481584822e+00|            4.7110163326e-08|
|  129|            6.1899910714e+00|           -4.1481121427e-08|
|  130|            6.2317834822e+00|           -1.3678371769e-08|
|  131|            6.2735357143e+00|            1.2292801688e-07|
|  132|            6.3152477679e+00|           -7.9450843904e-08|
|  133|            6.3569196429e+00|           -1.1385050547e-07|
|  134|            6.3985513393e+00|           -5.1077892360e-08|
|  135|            6.4401428572e+00|            3.4524236803e-09|
|  136|            6.4816941964e+00|            8.1938917651e-08|
|  137|            6.5232053572e+00|           -1.9957626352e-07|
|  138|            6.5646763393e+00|            3.1225884989e-08|
|  139|            6.6061071429e+00|            1.6248769219e-07|
|  140|            6.6474977679e+00|            7.8925538771e-08|
|  141|            6.6888482143e+00|           -2.6587669844e-08|
|  142|            6.7301584822e+00|           -2.5121955627e-09|
|  143|            6.7714285714e+00|            7.7786750596e-08|
|  144|            6.8126584822e+00|           -1.5929267683e-08|
|  145|            6.8538482143e+00|           -1.9642963256e-08|
|  146|            6.8949977679e+00|            2.4761197759e-08|
|  147|            6.9361071429e+00|            4.0245866861e-08|
|  148|            6.9771763393e+00|            2.2091827478e-08|
|  149|            7.0182053572e+00|           -4.8808269204e-08|
|  150|            7.0591941964e+00|           -8.0495734522e-09|
|  151|            7.1001428572e+00|           -7.2059203049e-10|
|  152|            7.1410513393e+00|            4.9182988571e-08|
|  153|            7.1819196429e+00|           -3.1739230133e-08|
|  154|            7.2227477679e+00|           -2.8734874480e-08|
|  155|            7.2635357143e+00|           -3.3339941918e-09|
|  156|            7.3042834822e+00|            3.0238363147e-08|
|  157|            7.3449910714e+00|           -2.0861364636e-08|
|  158|            7.3856584822e+00|            2.2562190560e-08|
|  159|            7.4262857143e+00|            3.9601091961e-08|
|  160|            7.4668727679e+00|            2.6713724788e-08|
|  161|            7.5074196429e+00|           -2.4351391792e-08|
|  162|            7.5479263393e+00|            6.4752034845e-09|
|  163|            7.5883928572e+00|           -7.8785578062e-09|
