Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
|     155|                    2.277375e+05|
|     156|                    2.275125e+05|
|     157|                    2.272875e+05|
|     158|                    2.270625e+05|
|     159|                    2.268375e+05|
|     160|                    2.266125e+05|
|     161|                    2.263875e+05|
|     162|                    2.261625e+05|
|     163|                    2.259375e+05|
|     164|                    2.257125e+05|
|     165|                    2.254875e+05|
|     166|                    2.252625e+05|
|     167|                    2.250375e+05|
|     168|                    2.248125e+05|
|     169|                    2.245875e+05|
|     170|                    2.243625e+05|
|     171|                    2.241375e+05|
|     172|                    2.239125e+05|
|     173|                    2.236875e+05|
|     174|                    2.234625e+05|
|     175|                    2.232375e+05|
|     176|                    2.230125e+05|
|     177|                    2.227875e+05|
|     178|                    2.225625e+05|
|     179|                    2.223375e+05|
|     180|                    2.221125e+05|
|     181|                    2.218875e+05|
|     182|                    2.216625e+05|
|     183|                    2.214375e+05|
|     184|                    2.212125e+05|
|     185|                    2.209875e+05|
|     186|                    2.207625e+05|
|     187|                    2.205375e+05|
|     188|                    2.203125e+05|
|     189|                    2.200875e+05|
|     190|                    2.198625e+05|
|     191|                    2.196375e+05|
|     192|                    2.194125e+05|
|     193|                    2.191875e+05|
|     194|                    2.189625e+05|
|     195|                    2.187375e+05|
|     196|                    2.185125e+05|
|     197|                    2.182875e+05|
|     198|                    2.180625e+05|
|     199|                    2.178375e+05|
|     200|                    2.176125e+05|
|     201|                    2.173875e+05|
|     202|                    2.171625e+05|
|     203|                    2.169375e+05|
|     204|                    2.167125e+05|
|     205|                    2.164875e+05|
|     206|                    2.162625e+05|
|     207|                    2.160375e+05|
|     208|                    2.158125e+05|
|     209|                    2.155875e+05|
|     210|                    2.153625e+05|
|     211|                    2.151375e+05|
|     212|                    2.149125e+05|
|     213|                    2.146875e+05|
|     214|                    2.144625e+05|
|     215|                    2.142375e+05|
|     216|                    2.140125e+05|
|     217|                    2.137875e+05|
|     218|                    2.135625e+05|
|     219|                    2.133375e+05|
|     220|                    2.131125e+05|
|     221|                    2.128875e+05|
|     222|                    2.126625e+05|
|     223|                    2.124375e+05|
|     224|                    2.122125e+05|
|     225|                    2.119875e+05|
|     226|                    2.117625e+05|
|     227|                    2.115375e+05|
|     228|                    2.113125e+05|
|     229|                    2.110875e+05|
|     230|                    2.108625e+05|
|     231|                    2.106375e+05|
|     232|                    2.104125e+05|
|     233|                    2.101875e+05|
|     234|                    2.099625e+05|
|     235|                    2.097375e+05|
|     236|                    2.095125e+05|
|     237|                    2.092875e+05|
|     238|                    2.090625e+05|
|     239|                    2.088375e+05|
|     240|                    2.086125e+05|
|     241|                    2.083875e+05|
|     242|                    2.081625e+05|
|     243|                    2.079375e+05|
|     244|                    2.077125e+05|
|     245|                    2.074875e+05|
|     246|                    2.072625e+05|
|     247|                    2.070375e+05|
|     248|                    2.068125e+05|
|     249|                    2.065875e+05|
|     250|                    2.063625e+05|
|     251|                    2.061375e+05|
|     252|                    2.059125e+05|
|     253|                    2.056875e+05|
|     254|                    2.054625e+05|
|     255|                    2.052375e+05|
|     256|                    2.050125e+05|
|     257|                    2.047875e+05|
|     258|                    2.045625e+05|
|     259|                    2.043375e+05|
|     260|                    2.041125e+05|
|     261|                    2.038875e+05|
|     262|                    2.036625e+05|
|     263|                    2.034375e+05|
|     264|                    2.032125e+05|
|     265|                    2.029875e+05|
|     266|                    2.027625e+05|
|     267|                    2.025375e+05|
|     268|                    2.023125e+05|
|     269|                    2.020875e+05|
|     270|                    2.018625e+05|
|     271|                    2.016375e+05|
|     272|                    2.014125e+05|
|     273|                    2.011875e+05|
|     274|                    2.009625e+05|
|     275|                    2.007375e+05|
|     276|                    2.005125e+05|
|     277|                    2.002875e+05|
|     278|                    2.000625e+05|
|     279|                    1.998375e+05|
|     280|                    1.996125e+05|
|     281|                    1.993875e+05|
|     282|                    1.991625e+05|
|     283|                    1.989375e+05|
|     284|                    1.987125e+05|
|     285|                    1.984875e+05|
|     286|                    1.982625e+05|
|     287|                    1.980375e+05|
|     288|                    1.978125e+05|
|     289|                    1.975875e+05|
|     290|                    1.973625e+05|
|     291|                    1.971375e+05|
|     292|                    1.969125e+05|
|     293|                    1.966875e+05|
|     294|                    1.964625e+05|
|     295|                    1.962375e+05|
|     296|                    1.960125e+05|
|     297|                    1.957875e+05|
|     298|                    1.955625e+05|
|     299|                    1.953375e+05|
|     300|                    1.951125e+05|
|     301|                    4.477500e+04|
|     302|                    4.432500e+04|
|     303|                    4.387500e+04|
|     304|                    4.342500e+04|
|     305|                    4.297500e+04|
|     306|                    4.252500e+04|
|     307|                    4.207500e+04|
|     308|                    4.162500e+04|
|     309|                    4.117500e+04|
|     310|                    4.072500e+04|
|     311|                    4.027500e+04|
|     312|                    3.982500e+04|
|     313|                    3.937500e+04|
|     314|                    3.892500e+04|
|     315|                    3.847500e+04|
|     316|                    3.802500e+04|
|     317|                    3.757500e+04|
|     318|                    3.712500e+04|
|     319|                    3.667500e+04|
|     320|                    3.622500e+04|
|     321|                    3.577500e+04|
|     322|                    3.532500e+04|
|     323|                    3.487500e+04|
|     324|                    3.442500e+04|
|     325|                    3.397500e+04|
|     326|                    3.352500e+04|
|     327|                    3.307500e+04|
|     328|                    3.262500e+04|
|     329|                    3.217500e+04|
|     330|                    3.172500e+04|
|     331|                    3.127500e+04|
|     332|                    3.082500e+04|
|     333|                    3.037500e+04|
|     334|                    2.992500e+04|
|     335|                    2.947500e+04|
|     336|                    2.902500e+04|
|     337|                    2.857500e+04|
|     338|                    2.812500e+04|
|     339|                    2.767500e+04|
|     340|                    2.722500e+04|
|     341|                    2.677500e+04|
|     342|                    2.632500e+04|
|     343|                    2.587500e+04|
|     344|                    2.542500e+04|
|     345|                    2.497500e+04|
|     346|                    2.452500e+04|
|     347|                    2.407500e+04|
|     348|                    2.362500e+04|
|     349|                    2.317500e+04|
|     350|                    2.272500e+04|
|     351|                    2.227500e+04|
|     352|                    2.182500e+04|
|     353|                    2.137500e+04|
|     354|                    2.092500e+04|
|     355|                    2.047500e+04|
|     356|                    2.002500e+04|
|     357|                    1.957500e+04|
|     358|                    1.912500e+04|
|     359|                    1.867500e+04|
|     360|                    1.822500e+04|
|     361|                    1.777500e+04|
|     362|                    1.732500e+04|
|     363|                    1.687500e+04|
|     364|                    1.642500e+04|
|     365|                    1.597500e+04|
|     366|                    1.552500e+04|
|     367|                    1.507500e+04|
|     368|                    1.462500e+04|
|     369|                    1.417500e+04|
|     370|                    1.372500e+04|
|     371|                    1.327500e+04|
|     372|                    1.282500e+04|
|     373|                    1.237500e+04|
|     374|                    1.192500e+04|
|     375|                    1.147500e+04|
|     376|                    1.102500e+04|
|     377|                    1.057500e+04|
|     378|                    1.012500e+04|
|     379|                    9.675000e+03|
|     380|                    9.225000e+03|
|     381|                    8.775000e+03|
|     382|                    8.325000e+03|
|     383|                    7.875000e+03|
|     384|                    7.425000e+03|
|     385|                    6.975000e+03|
|     386|                    6.525000e+03|
|     387|                    6.075000e+03|
|     388|                    5.625000e+03|
|     389|                    5.175000e+03|
|     390|                    4.725000e+03|
|     391|                    4.275000e+03|
|     392|                    3.825000e+03|
|     393|                    3.375000e+03|
|     394|                    2.925000e+03|
|     395|                    2.475000e+03|
|     396|                    2.025000e+03|
|     397|                    1.575000e+03|
|     398|                    1.125000e+03|
|     399|                    6.750000e+02|
|     400|                    2.250000e+02|
--------------------------------------------


---------- Forças de Reação ----------
|Ponto| GDL|              Valor             |
---------------------------------------------
|    1|   1|                   -3.300000e+05|
|    1|   2|                    0.000000e+00|
---------------------------------------------
